ID,Country,CompTotal,Currency,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DevType,JobSat,RemoteWork,EdLevel,OrgSize,Age,Employment,AISelect
1129,United States of America,137000,USD	United States dollar,6,HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;PowerShell;Ruby;Rust;SQL;TypeScript,"Developer, front-end",7,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,100 to 499 employees,25-34 years old,"Employed, full-time",Yes
1130,Mexico,,,5,MATLAB;Python;R;SQL,Java;Python;Scala;SQL,Engineering manager,,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time","No, but I plan to soon"
1131,Brazil,99000,BRL	Brazilian real,27,C#;Delphi;HTML/CSS;SQL;VBA,C#;SQL,"Developer, full-stack",6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,45-54 years old,"Employed, full-time","No, and I don't plan to"
1132,United States of America,150000,USD	United States dollar,10,Assembly;Bash/Shell (all shells);C;C#;C++;Go;Haskell;Java;Kotlin;PHP;Python;Rust;SQL;Swift,Assembly;Bash/Shell (all shells);C#;Haskell;Kotlin;Rust;SQL;Swift,Security professional,7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1133,United States of America,,,,HTML/CSS;JavaScript,C;C#;C++;PHP;PowerShell;Python;Rust;TypeScript,,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,"Not employed, but looking for work",Yes
1134,France,,EUR European Euro,17,Bash/Shell (all shells);C#;SQL;TypeScript,C#;SQL;TypeScript,"Developer, back-end",,Remote,Something else,"Just me - I am a freelancer, sole proprietor, etc.",35-44 years old,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Yes
1135,Germany,,EUR European Euro,2,C;C#;C++;Dart;HTML/CSS;JavaScript;Kotlin;PowerShell;Rust;SQL;Swift;TypeScript,C#;C++;Dart;Go;HTML/CSS;JavaScript;Kotlin;PowerShell;Rust;SQL;Swift;TypeScript;Zig,"Developer, full-stack",9,In-person,Some college/university study without earning a degree,I don’t know,25-34 years old,"Employed, full-time","No, and I don't plan to"
1136,United States of America,,,4,Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,Go;HTML/CSS;JavaScript;Rust;TypeScript,"Developer, front-end",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Not employed, but looking for work","No, and I don't plan to"
1137,United States of America,400000,USD	United States dollar,13,C++;Java;JavaScript;Kotlin;Python;TypeScript,,"Developer, AI",4,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",35-44 years old,"Employed, full-time",Yes
1138,United States of America,120000,USD	United States dollar,7,Bash/Shell (all shells);Python,Bash/Shell (all shells);Go;Python;Rust,DevOps specialist,6,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time",Yes
1139,India,1720000,INR	Indian rupee,7,JavaScript;Python;TypeScript,C++;Go;Rust,"Developer, back-end",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
1140,United Kingdom of Great Britain and Northern Ireland,100000,GBP	Pound sterling,22,C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",6,Remote,Some college/university study without earning a degree,100 to 499 employees,45-54 years old,"Independent contractor, freelancer, or self-employed",Yes
1141,Poland,230000,PLN	Polish zloty,4,C#;PowerShell;Python;SQL;TypeScript,C#;PowerShell;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Independent contractor, freelancer, or self-employed",Yes
1142,United States of America,75000,USD	United States dollar,4,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;TypeScript,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;PHP;Python;Rust;TypeScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
1143,Belgium,,,,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Research & Development role,,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25-34 years old,"Independent contractor, freelancer, or self-employed","No, but I plan to soon"
1144,United States of America,87500,USD	United States dollar,8,Bash/Shell (all shells);Python;R;SQL,,Research & Development role,,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",35-44 years old,"Employed, full-time","No, but I plan to soon"
1145,United States of America,70000,USD	United States dollar,7,GDScript;Go;HTML/CSS;JavaScript;Lua;MicroPython;PHP;PowerShell;Python;SQL,GDScript;HTML/CSS;JavaScript;Lua;Python;SQL,"Developer, full-stack",10,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
1146,United Kingdom of Great Britain and Northern Ireland,,GBP	Pound sterling,3,C;C++;Java;Lua,C;C++;Lua;Zig,"Developer, game or graphics",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",25-34 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1147,Hungary,,HUF	Hungarian forint,12,HTML/CSS;JavaScript;PowerShell;TypeScript,HTML/CSS;JavaScript;PowerShell;TypeScript,"Developer, full-stack",6,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,"1,000 to 4,999 employees",25-34 years old,"Employed, full-time",Yes
1148,Italy,35000,EUR European Euro,28,Bash/Shell (all shells);C;C++;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL;VBA,Bash/Shell (all shells);JavaScript;PHP;Python;SQL,"Developer, full-stack",7,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,2 to 9 employees,45-54 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, but I plan to soon"
1149,Italy,,EUR European Euro,1,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL;VBA;Visual Basic (.Net),Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;SQL;TypeScript;VBA,Student,,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",18-24 years old,"Independent contractor, freelancer, or self-employed;Student, part-time",Yes
1150,United States of America,,USD	United States dollar,16,C#;JavaScript;SQL,C#;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",35-44 years old,"Independent contractor, freelancer, or self-employed","No, but I plan to soon"
1151,Brazil,,BRL	Brazilian real,13,C#;Elixir;Erlang;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;Elixir;Rust;SQL;TypeScript,"Developer, full-stack",9,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
1152,United States of America,126000,USD	United States dollar,17,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,"Developer, full-stack",6,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20 to 99 employees,35-44 years old,"Employed, full-time",Yes
1153,France,,,,Assembly;Bash/Shell (all shells);C;C++;Haskell;PowerShell;Python;TypeScript,Ada;Assembly;Bash/Shell (all shells);C;C++;Cobol;Fortran;GDScript;Haskell;Python;Rust,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time",Yes
1154,United States of America,152000,USD	United States dollar,13,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
1155,Egypt,,,,Bash/Shell (all shells);C;C++;Go;Python,Bash/Shell (all shells);C;Go;Lua;OCaml;Python;Rust;Zig,Security professional,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, full-time",Yes
1156,Canada,500000,CAD	Canadian dollar,12,JavaScript;PHP;Python,Clojure;Elixir;Lisp;PHP;Python;Rust;Swift,Developer Experience,9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",35-44 years old,"Employed, full-time",Yes
1157,Algeria,1080000,DZD	Algerian dinar,1,HTML/CSS;Python,Go;JavaScript;Python,"Developer, back-end",8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,18-24 years old,"Employed, full-time",Yes
1158,India,,,9,HTML/CSS;Java;JavaScript;MATLAB;PHP;SQL,Dart;Go;Kotlin;Python;TypeScript,Engineering manager,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Not employed, and not looking for work",Yes
1159,Italy,18382,EUR European Euro,5,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MATLAB;PHP;SQL,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,"Developer, full-stack",8,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,18-24 years old,"Student, part-time;Employed, part-time",Yes
1160,Zimbabwe,,,Less than 1 year,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Prolog;Python;R;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PowerShell;Python;Rust;SQL;Swift;TypeScript,"Developer, full-stack",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Not employed, but looking for work",Yes
1161,Russian Federation,4140000,RUB	Russian ruble,22,Java,Java,"Developer, back-end",6,Remote,Some college/university study without earning a degree,500 to 999 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
1162,United Kingdom of Great Britain and Northern Ireland,98800,GBP	Pound sterling,6,Bash/Shell (all shells);Rust;SQL;Swift,Rust;Swift,"Developer, back-end",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1163,Ukraine,640,USD	United States dollar,1,C#,C#;F#;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20 to 99 employees,18-24 years old,"Employed, full-time",Yes
1164,Sweden,700000,SEK	Swedish krona,15,JavaScript;PHP;TypeScript,Bash/Shell (all shells);C;C++;Go;JavaScript;Kotlin;PHP;Python;Rust;TypeScript,"Developer, back-end",,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
1165,Germany,72000,EUR European Euro,12,C;Python,Python;Zig,"Developer, desktop or enterprise applications",9,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
1166,United States of America,135000,USD	United States dollar,25,HTML/CSS;JavaScript;PHP;SQL,Swift,"Developer, full-stack",9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,45-54 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
1167,Argentina,105000,USD	United States dollar,14,HTML/CSS;JavaScript;Ruby;TypeScript,Go;HTML/CSS;JavaScript;Swift;TypeScript,"Developer, front-end",,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
1168,Italy,35000,EUR European Euro,3,Java;Python;SQL;TypeScript,Go;Java;Python;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, but I plan to soon"
1169,Croatia,,,,Assembly;Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;MATLAB;Python,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Rust;SQL;Zig,Student,,,Primary/elementary school,,Under 18 years old,"Student, full-time","No, and I don't plan to"
1170,United States of America,165000,USD	United States dollar,12,Bash/Shell (all shells);C;C#;C++;Dart;Java;JavaScript;Kotlin;PowerShell;Swift;TypeScript,Bash/Shell (all shells);Haskell;OCaml;Rust;Swift,Other (please specify):,8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1171,Canada,160000,CAD	Canadian dollar,26,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;MicroPython;Python;Rust,Engineering manager,,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,45-54 years old,"Employed, full-time","No, but I plan to soon"
1172,"Venezuela, Bolivarian Republic of...",13200,USD	United States dollar,9,HTML/CSS;JavaScript;PHP,Dart;HTML/CSS;JavaScript;PHP,"Developer, back-end",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
1173,United States of America,,,,Bash/Shell (all shells);C;C#;C++;GDScript;HTML/CSS;Java;JavaScript;PowerShell;Rust;TypeScript,C#;GDScript;PowerShell;Rust,Other (please specify):,,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
1174,United Kingdom of Great Britain and Northern Ireland,40000,GBP	Pound sterling,4,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack",7,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time",Yes
1175,Germany,,EUR European Euro,23,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;Rust;SQL,HTML/CSS;JavaScript;Rust;SQL,Cloud infrastructure engineer,,Remote,Some college/university study without earning a degree,2 to 9 employees,35-44 years old,"Independent contractor, freelancer, or self-employed","No, but I plan to soon"
1176,United States of America,,USD	United States dollar,20,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PowerShell;Python,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PowerShell;Python,"Developer, full-stack",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",35-44 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1177,United States of America,17000,USD	United States dollar,10,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;Rust;SQL,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",25-34 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1178,United States of America,165000,USD	United States dollar,23,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL,Go;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;Swift;TypeScript,"Developer, back-end",9,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,55-64 years old,"Employed, full-time",Yes
1179,United States of America,,USD	United States dollar,3,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,C;C#;Python;Rust;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",18-24 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1180,United States of America,125000,USD	United States dollar,2,C;C#;C++;Dart;Go;JavaScript;Python;Rust,C#;JavaScript;Python,Research & Development role,6,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,18-24 years old,"Employed, full-time",Yes
1181,United States of America,,USD	United States dollar,30,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",55-64 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1182,United States of America,200000,USD	United States dollar,9,Bash/Shell (all shells);C;Clojure;Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,Clojure;Python;Rust;Swift,"Developer, full-stack",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",35-44 years old,"Employed, full-time",Yes
1183,Germany,,,25,C;C++;JavaScript;Objective-C;Python;SQL,C;C++;JavaScript,"Developer, back-end",5,In-person,Something else,,45-54 years old,"Employed, full-time","No, and I don't plan to"
1184,Ukraine,1800,USD	United States dollar,2,Clojure;Go;Java,Clojure;Go;Prolog,Developer Experience,,Remote,Some college/university study without earning a degree,I don’t know,18-24 years old,"Employed, full-time",Yes
1185,United States of America,130000,USD	United States dollar,10,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL,C#;Go;PowerShell;Rust,DevOps specialist,8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time",Yes
