ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
1558,Singapore,Singapore,250000,SGD	Singapore dollar,17955000,18,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,6,C#;Go;HTML/CSS;SQL;TypeScript,"Senior Executive (C-Suite, VP, etc.)",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
1559,Germany,Germany,75000,EUR European Euro,6825000,13,C#;Java;PowerShell;Python;SQL;TypeScript,6,C#;Java;PowerShell;Python;SQL,"Developer, full-stack",,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
1560,Netherlands,Netherlands,120000,EUR European Euro,10920000,11,C#;HTML/CSS;JavaScript;SQL;TypeScript,5,HTML/CSS;JavaScript;TypeScript,Blockchain,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20 to 99 employees,60,35-44 years old,35,"Independent contractor, freelancer, or self-employed",Yes,1
1561,Ireland,Ireland,92000,EUR European Euro,8372000,29,C#;Visual Basic (.Net),2,C#;Visual Basic (.Net),"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,"10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",No,0
1562,Austria,Austria,120000,EUR European Euro,10920000,20,C;Elixir;Erlang;Go;HTML/CSS;Lua;OCaml;Python;Zig,9,C;Elixir;HTML/CSS;Lua;OCaml;Python;Zig,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,45-54 years old,45,"Independent contractor, freelancer, or self-employed",Yes,1
1563,Italy,Italy,62000,EUR European Euro,5642000,18,C#,1,C#;F#,Designer,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
1564,Germany,Germany,71000,EUR European Euro,6461000,5,C#;C++;Dart;Java;MATLAB;Python;SQL,7,C#;Dart;Python;SQL,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Student, part-time;Employed, part-time",Yes,1
1565,United Kingdom of Great Britain and Northern Ireland,United Kingdom,65000,GBP	Pound sterling,6890000,33,C#;SQL,2,C#;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,300,45-54 years old,45,"Employed, full-time",Yes,1
1566,Estonia,Estonia,70000,EUR European Euro,6370000,25,C;C#;Fortran;Groovy;HTML/CSS;Java;JavaScript;Python;SQL,9,C#;Groovy;HTML/CSS;Java;JavaScript;SQL,"Developer, QA or test",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",Yes,1
1567,Germany,Germany,65000,EUR European Euro,5915000,18,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell,5,Bash/Shell (all shells);C#;F#;JavaScript;PowerShell,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","5,000 to 9,999 employees",7500,35-44 years old,35,"Employed, full-time",Yes,1
1568,Italy,Italy,100000,EUR European Euro,9100000,9,PHP;Python;SQL,3,Go;Python;Rust,Other (please specify):,,"Hybrid (some remote, some in-person)",1,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1569,Germany,Germany,97000,EUR European Euro,8827000,23,C#;HTML/CSS;SQL;TypeScript,4,C#;Elixir;Erlang;F#;HTML/CSS;SQL;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,"10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",Yes,1
1570,Latvia,Latvia,66000,EUR European Euro,6006000,8,Java;JavaScript;Python;Scala,4,Python;Scala,Data engineer,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
1571,United Kingdom of Great Britain and Northern Ireland,United Kingdom,150000,GBP	Pound sterling,15900000,40,HTML/CSS;PHP;R;SQL,4,HTML/CSS;PHP;R;SQL,Scientist,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,55-64 years old,55,"Employed, full-time",No,0
1572,Belgium,Belgium,73000,EUR European Euro,6643000,12,Bash/Shell (all shells);C#;Java;JavaScript;SQL;TypeScript,6,C#;Java;JavaScript;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",No,0
1573,Germany,Germany,100000,EUR European Euro,9100000,11,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL;TypeScript,6,Bash/Shell (all shells);C#;PowerShell;SQL,Other (please specify):,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
1574,United States of America,USA,178500,USD	United States dollar,14994000,7,Bash/Shell (all shells);Go;SQL,3,C;C#;C++;Clojure;Elixir;Erlang;F#;Go;Haskell;Rust;Zig,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1575,United Kingdom of Great Britain and Northern Ireland,United Kingdom,85000,GBP	Pound sterling,9010000,10,HTML/CSS;JavaScript;Lua;Ruby;SQL,5,HTML/CSS;JavaScript;Lua;Ruby;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
1576,Poland,Poland,383700,PLN	Polish zloty,8057700,12,HTML/CSS;JavaScript;TypeScript,3,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
1577,Germany,Germany,76977,EUR European Euro,7004907,12,C#;Java;PHP;PowerShell;SQL;TypeScript,6,C#;PowerShell;SQL,Other (please specify):,,Remote,2,"Associate degree (A.A., A.S., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
1578,United Kingdom of Great Britain and Northern Ireland,United Kingdom,75000,GBP	Pound sterling,7950000,12,C#;C++;Python;TypeScript,4,C#;C++;Python;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
1579,Germany,Germany,62000,EUR European Euro,5642000,14,Bash/Shell (all shells);TypeScript,2,Bash/Shell (all shells);TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1580,United Kingdom of Great Britain and Northern Ireland,United Kingdom,120000,GBP	Pound sterling,12720000,14,Bash/Shell (all shells);C;C++;Go;Groovy;JavaScript;Lua;PHP;Rust;Solidity,10,C;C++;Go;Lua;Rust;Zig,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
1581,Spain,Spain,60500,EUR European Euro,5505500,7,Bash/Shell (all shells);Groovy;Java;Ruby;SQL;TypeScript,6,Bash/Shell (all shells);Go;Groovy;Ruby;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
1582,Switzerland,Switzerland,79200,CHF	Swiss franc,7524000,10,C#;HTML/CSS;PHP;PowerShell;SQL;TypeScript;VBA,7,Java;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
1583,Poland,Poland,190000,PLN	Polish zloty,3990000,10,HTML/CSS;JavaScript;Ruby;SQL,4,HTML/CSS;Ruby,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
1584,France,France,120000,EUR European Euro,10920000,10,HTML/CSS;Java;Rust;Scala,4,Rust;Scala,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Independent contractor, freelancer, or self-employed",No,0
1585,Bulgaria,Bulgaria,166200,BGN	Bulgarian lev,9144324,19,HTML/CSS;JavaScript;TypeScript,3,HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
1586,Poland,Poland,250000,PLN	Polish zloty,5250000,10,HTML/CSS;JavaScript;TypeScript,3,HTML/CSS;JavaScript;Python;TypeScript,"Developer, front-end",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1587,Ukraine,Ukraine,72000,EUR European Euro,6552000,10,PHP;Python,2,PHP,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
1588,Germany,Germany,70000,EUR European Euro,6370000,1,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL,11,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;PHP;Python;Rust;TypeScript,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1589,Austria,Austria,60000,EUR European Euro,5460000,5,C;HTML/CSS;Java;JavaScript;Python;TypeScript,6,HTML/CSS;Java;TypeScript,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,18-24 years old,18,"Student, full-time;Employed, part-time",Yes,1
1590,Spain,Spain,68750,EUR European Euro,6256250,1,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Python;TypeScript,9,Assembly;C;Elixir;Go;HTML/CSS;OCaml;Python;Rust;SQL;TypeScript;Zig,"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,18-24 years old,18,"Employed, full-time",Yes,1
1591,Poland,Poland,120000,PLN	Polish zloty,2520000,3,C++;Rust,2,Go;Rust,"Developer, desktop or enterprise applications",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1592,United Kingdom of Great Britain and Northern Ireland,United Kingdom,95000,GBP	Pound sterling,10070000,12,C#;SQL,2,C#;Go;JavaScript;SQL;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
1593,United Kingdom of Great Britain and Northern Ireland,United Kingdom,70000,GBP	Pound sterling,7420000,4,C++;HTML/CSS;JavaScript;Lisp;MATLAB;Python;R;SQL,8,HTML/CSS;JavaScript;MATLAB;Python;R,Research & Development role,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10 to 19 employees,15,55-64 years old,55,"Independent contractor, freelancer, or self-employed",Yes,1
1594,Poland,Poland,250000,PLN	Polish zloty,5250000,9,JavaScript;Python;SQL;VBA,4,JavaScript;Python;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
1595,Poland,Poland,228000,PLN	Polish zloty,4788000,9,Bash/Shell (all shells);JavaScript;TypeScript,3,Bash/Shell (all shells);Go;JavaScript;Rust;TypeScript;Zig,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
1596,Switzerland,Switzerland,88000,CHF	Swiss franc,8360000,8,Bash/Shell (all shells);C#;Elixir;PHP;PowerShell,5,Elixir;Rust,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, part-time",No,0
1597,United Kingdom of Great Britain and Northern Ireland,United Kingdom,65000,GBP	Pound sterling,6890000,6,HTML/CSS;JavaScript;TypeScript,3,Java,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Associate degree (A.A., A.S., etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
1598,Germany,Germany,90000,EUR European Euro,8190000,28,C++;Python,2,C++;Python,"Developer, desktop or enterprise applications",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",No,0
1599,Ethiopia,Ethiopia,320000,ETB	Ethiopian birr,320000,5,HTML/CSS;JavaScript;PHP;Python;SQL,5,HTML/CSS;JavaScript;PHP;Python;R;SQL,Data or business analyst,,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
1600,Netherlands,Netherlands,120000,EUR European Euro,10920000,7,Bash/Shell (all shells);Python,2,Bash/Shell (all shells);Go;Python;Rust,Security professional,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Independent contractor, freelancer, or self-employed",No,0
1601,Germany,Germany,78000,EUR European Euro,7098000,7,Bash/Shell (all shells);C#;HTML/CSS;Java;SQL;TypeScript,6,Bash/Shell (all shells);C#;HTML/CSS;Java;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
1602,Germany,Germany,65000,EUR European Euro,5915000,5,C#;Python;TypeScript,3,Rust,Research & Development role,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, part-time",Yes,1
1603,Canada,Canada,170000,CAD	Canadian dollar,10540000,15,Assembly;Bash/Shell (all shells);C;C++;Python,5,C;C++,"Developer, embedded applications or devices",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
1604,Spain,Spain,130000,EUR European Euro,11830000,12,C++;Java;Python,3,C++;Go;Python,Cloud infrastructure engineer,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
1605,Portugal,Portugal,120000,USD	United States dollar,10080000,21,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Ruby;SQL;TypeScript,9,Bash/Shell (all shells);Crystal;Elixir;Erlang;Go;Haskell;HTML/CSS;JavaScript;Lua;Ruby;SQL,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
1606,Tunisia,Tunisia,104250,TND	Tunisian dinar,104250,8,C;C++;JavaScript;Python;SQL,5,C;C++;Go;Rust,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
1607,Poland,Poland,400000,PLN	Polish zloty,8400000,18,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,5,HTML/CSS;JavaScript;PHP;SQL,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,500 to 999 employees,750,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
1608,Republic of North Macedonia,Republic of North Macedonia,60000,EUR European Euro,5460000,8,Java;Python;SQL;TypeScript,4,Java;Kotlin;Python;SQL;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1609,Poland,Poland,90000,PLN	Polish zloty,1890000,3,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Perl;Python;SQL,8,Bash/Shell (all shells);C;C++,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,"10,000 or more employees",10000,18-24 years old,18,"Employed, full-time",Yes,1
1610,Germany,Germany,97000,EUR European Euro,8827000,5,C#;PowerShell;SQL,3,C#;PowerShell;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Associate degree (A.A., A.S., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
1611,Brazil,Brazil,120000,BRL	Brazilian real,1800000,12,Python;Ruby;TypeScript,3,TypeScript,"Developer, front-end",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
1612,Ukraine,Ukraine,70000,UAH	Ukrainian hryvnia,147000,9,C#;JavaScript;SQL,3,C#;JavaScript;SQL,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
1613,Poland,Poland,200000,PLN	Polish zloty,4200000,4,Bash/Shell (all shells);C;C#;PowerShell;SQL,5,Go;JavaScript;Lua;Rust;TypeScript;Zig,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time;Employed, part-time",Yes,1
1614,Germany,Germany,60000,EUR European Euro,5460000,7,C#;HTML/CSS;SQL;TypeScript,4,C#;HTML/CSS;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
1615,France,France,105000,EUR European Euro,9555000,10,C;C++;Python;Rust,4,C;C++;Go;Python,"Developer, game or graphics",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1616,Austria,Austria,82000,EUR European Euro,7462000,12,Bash/Shell (all shells);HTML/CSS;Java;SQL;TypeScript,5,HTML/CSS;Java;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
1617,Switzerland,Switzerland,110000,CHF	Swiss franc,10450000,6,Bash/Shell (all shells);PowerShell;Python;SQL,4,Bash/Shell (all shells);PowerShell;Python;SQL,"Developer, AI",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
1618,Romania,Romania,310000,RON	Romanian leu,6531700,8,JavaScript;Python;TypeScript,3,JavaScript;Python;TypeScript,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
